# ayil_sim_dt version=3
# date=20191031 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:51Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,1.128252357,53,2026-05-26T15:57:51Z
60,1.176500196,51,2026-05-26T15:57:51Z
120,1.199983944,50,2026-05-26T15:57:51Z
180,1.199936686,50,2026-05-26T15:57:51Z
240,1.224489596,49,2026-05-26T15:57:51Z
300,1.224506355,49,2026-05-26T15:57:51Z
360,1.224187855,49,2026-05-26T15:57:51Z
420,1.249978589,48,2026-05-26T15:57:51Z
480,1.249999804,48,2026-05-26T15:57:51Z
540,1.250235856,48,2026-05-26T15:57:51Z
600,1.276600636,47,2026-05-26T15:57:51Z
660,1.276627147,47,2026-05-26T15:57:51Z
720,1.276566165,47,2026-05-26T15:57:51Z
780,1.276697618,47,2026-05-26T15:57:51Z
840,1.304352903,46,2026-05-26T15:57:51Z
900,1.304396705,46,2026-05-26T15:57:51Z
960,1.304396072,46,2026-05-26T15:57:51Z
1020,1.304347826,46,2026-05-26T15:57:51Z
1080,1.304560771,46,2026-05-26T15:57:51Z
1140,1.333334482,45,2026-05-26T15:57:51Z
1200,1.333325558,45,2026-05-26T15:57:51Z
1260,1.333343779,45,2026-05-26T15:57:51Z
1320,1.333316899,45,2026-05-26T15:57:51Z
1380,1.333366786,45,2026-05-26T15:57:51Z
1440,1.333347904,45,2026-05-26T15:57:51Z
1500,1.333276960,45,2026-05-26T15:57:51Z
1560,1.333284446,45,2026-05-26T15:57:51Z
1620,1.333269062,45,2026-05-26T15:57:51Z
1680,1.333549602,45,2026-05-26T15:57:51Z
1740,1.333156689,45,2026-05-26T15:57:51Z
1800,1.333413388,45,2026-05-26T15:57:51Z
1860,1.333569327,45,2026-05-26T15:57:51Z
1920,1.332549417,45,2026-05-26T15:57:51Z
1980,1.334246307,45,2026-05-26T15:57:51Z
2040,1.363636530,44,2026-05-26T15:57:51Z
2100,1.363633616,44,2026-05-26T15:57:51Z
2160,1.363636430,44,2026-05-26T15:57:51Z
2220,1.363640486,44,2026-05-26T15:57:51Z
2280,1.363636364,44,2026-05-26T15:57:51Z
2340,1.363616218,44,2026-05-26T15:57:51Z
2400,1.363619434,44,2026-05-26T15:57:51Z
2460,1.363585184,44,2026-05-26T15:57:51Z
2520,1.363648287,44,2026-05-26T15:57:51Z
2580,1.363702813,44,2026-05-26T15:57:51Z
2640,1.363681882,44,2026-05-26T15:57:51Z
2700,1.363584129,44,2026-05-26T15:57:51Z
2760,1.363616293,44,2026-05-26T15:57:51Z
2820,1.363636364,44,2026-05-26T15:57:51Z
2880,1.363689558,44,2026-05-26T15:57:51Z
2940,1.363758946,44,2026-05-26T15:57:51Z
3000,1.363563663,44,2026-05-26T15:57:51Z
3060,1.363765843,44,2026-05-26T15:57:51Z
3120,1.363784102,44,2026-05-26T15:57:51Z
3180,1.363745839,44,2026-05-26T15:57:51Z
3240,1.363745839,44,2026-05-26T15:57:51Z
3300,1.363745839,44,2026-05-26T15:57:51Z
3360,1.363745839,44,2026-05-26T15:57:51Z
3420,1.363745839,44,2026-05-26T15:57:51Z
3480,1.363745839,44,2026-05-26T15:57:51Z
3540,1.363517150,44,2026-05-26T15:57:51Z
3600,1.363572383,44,2026-05-26T15:57:51Z
3660,1.363572383,44,2026-05-26T15:57:51Z
3720,1.363572383,44,2026-05-26T15:57:51Z
3780,1.363572383,44,2026-05-26T15:57:51Z
3840,1.363572383,44,2026-05-26T15:57:51Z
3900,1.363572383,44,2026-05-26T15:57:51Z
