# ayil_sim_dt version=3
# date=20191022 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:50Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,0.529098322,113,2026-05-26T15:57:50Z
60,0.540533973,111,2026-05-26T15:57:50Z
120,0.545456348,110,2026-05-26T15:57:50Z
180,0.545531619,110,2026-05-26T15:57:50Z
240,0.550458682,109,2026-05-26T15:57:50Z
300,0.550587324,109,2026-05-26T15:57:50Z
360,0.555554271,108,2026-05-26T15:57:50Z
420,0.555562378,108,2026-05-26T15:57:50Z
480,0.555500643,108,2026-05-26T15:57:50Z
540,0.555500643,108,2026-05-26T15:57:50Z
600,0.555500643,108,2026-05-26T15:57:50Z
660,0.555500643,108,2026-05-26T15:57:50Z
720,0.555500643,108,2026-05-26T15:57:50Z
780,0.555500643,108,2026-05-26T15:57:50Z
840,0.555500643,108,2026-05-26T15:57:50Z
900,0.555500643,108,2026-05-26T15:57:50Z
960,0.555500643,108,2026-05-26T15:57:50Z
1020,0.555500643,108,2026-05-26T15:57:50Z
1080,0.555500643,108,2026-05-26T15:57:50Z
1140,0.555500643,108,2026-05-26T15:57:50Z
1200,0.555500643,108,2026-05-26T15:57:50Z
1260,0.555500643,108,2026-05-26T15:57:50Z
1320,0.555500643,108,2026-05-26T15:57:50Z
1380,0.555500643,108,2026-05-26T15:57:50Z
1440,0.555500643,108,2026-05-26T15:57:50Z
1500,0.555500643,108,2026-05-26T15:57:50Z
1560,0.555500643,108,2026-05-26T15:57:50Z
1620,0.555500643,108,2026-05-26T15:57:50Z
1680,0.555500643,108,2026-05-26T15:57:50Z
1740,0.555500643,108,2026-05-26T15:57:50Z
1800,0.555500643,108,2026-05-26T15:57:50Z
1860,0.559230769,14,2026-05-26T15:57:50Z
