# ayil_sim_dt version=3
# date=20191212 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:53Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,1.107416721,54,2026-05-26T15:57:53Z
60,1.176496077,51,2026-05-26T15:57:53Z
120,1.224491102,49,2026-05-26T15:57:53Z
180,1.249999963,48,2026-05-26T15:57:53Z
240,1.276598858,47,2026-05-26T15:57:53Z
300,1.251849629,48,2026-05-26T15:57:53Z
360,1.250119265,48,2026-05-26T15:57:53Z
420,1.250013113,48,2026-05-26T15:57:53Z
480,1.224002495,49,2026-05-26T15:57:53Z
540,1.224631291,49,2026-05-26T15:57:53Z
600,1.224543545,49,2026-05-26T15:57:53Z
660,1.224506365,49,2026-05-26T15:57:53Z
720,1.202106983,50,2026-05-26T15:57:53Z
780,1.200249903,50,2026-05-26T15:57:53Z
840,1.199894170,50,2026-05-26T15:57:53Z
900,1.199999967,50,2026-05-26T15:57:53Z
960,1.175937125,51,2026-05-26T15:57:53Z
1020,1.176508812,51,2026-05-26T15:57:53Z
1080,1.176453955,51,2026-05-26T15:57:53Z
1140,1.176438181,51,2026-05-26T15:57:53Z
1200,1.176460530,51,2026-05-26T15:57:53Z
1260,1.176470144,51,2026-05-26T15:57:53Z
1320,1.154505534,52,2026-05-26T15:57:53Z
1380,1.153753606,52,2026-05-26T15:57:53Z
1440,1.153551655,52,2026-05-26T15:57:53Z
1500,1.153672787,52,2026-05-26T15:57:53Z
1560,1.153743602,52,2026-05-26T15:57:53Z
1620,1.153846089,52,2026-05-26T15:57:53Z
1680,1.153916397,52,2026-05-26T15:57:53Z
1740,1.153846154,52,2026-05-26T15:57:53Z
1800,1.153916855,52,2026-05-26T15:57:53Z
1860,1.153782854,52,2026-05-26T15:57:53Z
1920,1.153860078,52,2026-05-26T15:57:53Z
1980,1.153806497,52,2026-05-26T15:57:53Z
2040,1.163000000,5,2026-05-26T15:57:53Z
