# ayil_sim_dt version=3
# date=20191030 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:51Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,0.671913154,89,2026-05-26T15:57:51Z
60,0.705908691,85,2026-05-26T15:57:51Z
120,0.731694074,82,2026-05-26T15:57:51Z
180,0.750171601,80,2026-05-26T15:57:51Z
240,0.779217178,77,2026-05-26T15:57:51Z
300,0.799999504,75,2026-05-26T15:57:51Z
360,0.810810747,74,2026-05-26T15:57:51Z
420,0.833329287,72,2026-05-26T15:57:51Z
480,0.845092144,71,2026-05-26T15:57:51Z
540,0.857127312,70,2026-05-26T15:57:51Z
600,0.869590268,69,2026-05-26T15:57:51Z
660,0.882362558,68,2026-05-26T15:57:51Z
720,0.882032355,68,2026-05-26T15:57:51Z
780,0.895488107,67,2026-05-26T15:57:51Z
840,0.909090777,66,2026-05-26T15:57:51Z
900,0.909016666,66,2026-05-26T15:57:51Z
960,0.923079066,65,2026-05-26T15:57:51Z
1020,0.923063685,65,2026-05-26T15:57:51Z
1080,0.923012715,65,2026-05-26T15:57:51Z
1140,0.937498074,64,2026-05-26T15:57:51Z
1200,0.937509219,64,2026-05-26T15:57:51Z
1260,0.937475771,64,2026-05-26T15:57:51Z
1320,0.937570038,64,2026-05-26T15:57:51Z
1380,0.952380886,63,2026-05-26T15:57:51Z
1440,0.952387369,63,2026-05-26T15:57:51Z
1500,0.952403114,63,2026-05-26T15:57:51Z
1560,0.952342123,63,2026-05-26T15:57:51Z
1620,0.952360539,63,2026-05-26T15:57:51Z
1680,0.952443391,63,2026-05-26T15:57:51Z
1740,0.952624199,63,2026-05-26T15:57:51Z
1800,0.952790451,63,2026-05-26T15:57:51Z
1860,0.952531466,63,2026-05-26T15:57:51Z
1920,0.950766542,63,2026-05-26T15:57:51Z
1980,0.967742477,62,2026-05-26T15:57:51Z
2040,0.967740748,62,2026-05-26T15:57:51Z
2100,0.967745519,62,2026-05-26T15:57:51Z
2160,0.967741935,62,2026-05-26T15:57:51Z
2220,0.970097470,42,2026-05-26T15:57:51Z
