# ayil_sim_dt version=3
# date=20191027 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:50Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,1.049106710,57,2026-05-26T15:57:50Z
60,1.111107097,54,2026-05-26T15:57:50Z
120,1.132101585,53,2026-05-26T15:57:50Z
180,1.153796507,52,2026-05-26T15:57:50Z
240,1.176424185,51,2026-05-26T15:57:50Z
300,1.176177092,51,2026-05-26T15:57:50Z
360,1.199982901,50,2026-05-26T15:57:50Z
420,1.200105308,50,2026-05-26T15:57:50Z
480,1.224487003,49,2026-05-26T15:57:50Z
540,1.224509132,49,2026-05-26T15:57:50Z
600,1.224390277,49,2026-05-26T15:57:50Z
660,1.250018443,48,2026-05-26T15:57:50Z
720,1.250016904,48,2026-05-26T15:57:50Z
780,1.249772044,48,2026-05-26T15:57:50Z
840,1.276510737,47,2026-05-26T15:57:50Z
900,1.276582573,48,2026-05-26T15:57:50Z
960,1.276613850,47,2026-05-26T15:57:50Z
1020,1.276595648,47,2026-05-26T15:57:50Z
1080,1.276456047,47,2026-05-26T15:57:50Z
1140,1.304347826,46,2026-05-26T15:57:50Z
1200,1.304335112,46,2026-05-26T15:57:50Z
1260,1.304387836,46,2026-05-26T15:57:50Z
1320,1.304323353,46,2026-05-26T15:57:50Z
1380,1.304304702,46,2026-05-26T15:57:50Z
1440,1.304093284,46,2026-05-26T15:57:50Z
1500,1.303616849,46,2026-05-26T15:57:50Z
1560,1.333336213,45,2026-05-26T15:57:50Z
1620,1.333319355,45,2026-05-26T15:57:50Z
1680,1.333319780,45,2026-05-26T15:57:50Z
1740,1.333301353,45,2026-05-26T15:57:50Z
1800,1.333364032,45,2026-05-26T15:57:50Z
1860,1.333269842,45,2026-05-26T15:57:50Z
1920,1.333276548,45,2026-05-26T15:57:50Z
1980,1.333523283,45,2026-05-26T15:57:50Z
2040,1.333180454,45,2026-05-26T15:57:50Z
2100,1.333680091,45,2026-05-26T15:57:50Z
2160,1.333429520,45,2026-05-26T15:57:50Z
2220,1.333333333,45,2026-05-26T15:57:50Z
2280,1.333333333,45,2026-05-26T15:57:50Z
2340,1.332750672,45,2026-05-26T15:57:50Z
2400,1.363636163,44,2026-05-26T15:57:50Z
2460,1.363638727,44,2026-05-26T15:57:50Z
2520,1.363642618,44,2026-05-26T15:57:50Z
2580,1.363633401,44,2026-05-26T15:57:50Z
2640,1.363624641,44,2026-05-26T15:57:50Z
2700,1.363621781,44,2026-05-26T15:57:50Z
2760,1.363636364,44,2026-05-26T15:57:50Z
2820,1.363615378,44,2026-05-26T15:57:50Z
2880,1.363612759,44,2026-05-26T15:57:50Z
2940,1.363662344,44,2026-05-26T15:57:50Z
3000,1.363646041,44,2026-05-26T15:57:50Z
3060,1.363647080,44,2026-05-26T15:57:50Z
3120,1.363613956,44,2026-05-26T15:57:50Z
3180,1.363585074,44,2026-05-26T15:57:50Z
3240,1.363571968,44,2026-05-26T15:57:50Z
3300,1.363563485,44,2026-05-26T15:57:50Z
3360,1.363665818,44,2026-05-26T15:57:50Z
3420,1.363700528,44,2026-05-26T15:57:50Z
