# ayil_sim_dt version=3
# date=20191105 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:52Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,1.150016919,52,2026-05-26T15:57:52Z
60,1.176923880,51,2026-05-26T15:57:52Z
120,1.176310503,51,2026-05-26T15:57:52Z
180,1.176439733,51,2026-05-26T15:57:52Z
240,1.176545462,51,2026-05-26T15:57:52Z
300,1.176459355,51,2026-05-26T15:57:52Z
360,1.176442038,51,2026-05-26T15:57:52Z
420,1.176478273,51,2026-05-26T15:57:52Z
480,1.176470522,51,2026-05-26T15:57:52Z
540,1.155046845,52,2026-05-26T15:57:52Z
600,1.153634740,52,2026-05-26T15:57:52Z
660,1.153686189,52,2026-05-26T15:57:52Z
720,1.153969917,52,2026-05-26T15:57:52Z
780,1.153909361,52,2026-05-26T15:57:52Z
840,1.153903509,52,2026-05-26T15:57:52Z
900,1.153854777,52,2026-05-26T15:57:52Z
960,1.153872889,52,2026-05-26T15:57:52Z
1020,1.153855080,52,2026-05-26T15:57:52Z
1080,1.153788355,52,2026-05-26T15:57:52Z
1140,1.132501762,54,2026-05-26T15:57:52Z
1200,1.131871911,53,2026-05-26T15:57:52Z
1260,1.131916575,53,2026-05-26T15:57:52Z
1320,1.131970736,53,2026-05-26T15:57:52Z
1380,1.132127210,53,2026-05-26T15:57:52Z
1440,1.140521703,47,2026-05-26T15:57:52Z
