# ayil_sim_dt version=3
# date=20191108 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:52Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,0.808051526,74,2026-05-26T15:57:52Z
60,0.800006136,75,2026-05-26T15:57:52Z
120,0.779230172,77,2026-05-26T15:57:52Z
180,0.759513328,79,2026-05-26T15:57:52Z
240,0.740684653,81,2026-05-26T15:57:52Z
300,0.722457262,83,2026-05-26T15:57:52Z
360,0.714273276,84,2026-05-26T15:57:52Z
420,0.705886614,85,2026-05-26T15:57:52Z
480,0.689891422,87,2026-05-26T15:57:52Z
540,0.681886184,88,2026-05-26T15:57:52Z
600,0.674208783,89,2026-05-26T15:57:52Z
660,0.666635687,90,2026-05-26T15:57:52Z
720,0.659243498,91,2026-05-26T15:57:52Z
780,0.647524654,92,2026-05-26T15:57:52Z
840,0.652182989,92,2026-05-26T15:57:52Z
900,0.645205328,93,2026-05-26T15:57:52Z
960,0.645168838,93,2026-05-26T15:57:52Z
1020,0.638225064,94,2026-05-26T15:57:52Z
1080,0.638300534,94,2026-05-26T15:57:52Z
1140,0.631578947,95,2026-05-26T15:57:52Z
1200,0.631607335,95,2026-05-26T15:57:52Z
1260,0.631572643,95,2026-05-26T15:57:52Z
1320,0.625365845,96,2026-05-26T15:57:52Z
1380,0.624958103,96,2026-05-26T15:57:52Z
1440,0.624974865,96,2026-05-26T15:57:52Z
1500,0.625018088,96,2026-05-26T15:57:52Z
1560,0.624994469,96,2026-05-26T15:57:52Z
1620,0.618556701,97,2026-05-26T15:57:52Z
1680,0.618761057,97,2026-05-26T15:57:52Z
1740,0.618602659,97,2026-05-26T15:57:52Z
1800,0.618601645,97,2026-05-26T15:57:52Z
1860,0.618532923,97,2026-05-26T15:57:52Z
1920,0.618563687,97,2026-05-26T15:57:52Z
1980,0.621000000,30,2026-05-26T15:57:52Z
