# ayil_sim_dt version=3
# date=20191024 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:50Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,1.458536645,41,2026-05-26T15:57:50Z
60,1.538449127,39,2026-05-26T15:57:50Z
120,1.538463772,39,2026-05-26T15:57:50Z
180,1.538461806,39,2026-05-26T15:57:50Z
240,1.500890796,40,2026-05-26T15:57:50Z
300,1.498355276,40,2026-05-26T15:57:50Z
360,1.499187903,40,2026-05-26T15:57:50Z
420,1.500341715,40,2026-05-26T15:57:50Z
480,1.500389679,40,2026-05-26T15:57:50Z
540,1.500310510,40,2026-05-26T15:57:50Z
600,1.500000000,40,2026-05-26T15:57:50Z
660,1.500079356,40,2026-05-26T15:57:50Z
720,1.499737669,40,2026-05-26T15:57:50Z
780,1.499822017,40,2026-05-26T15:57:50Z
840,1.499736238,40,2026-05-26T15:57:50Z
900,1.500182496,40,2026-05-26T15:57:50Z
960,1.500077384,40,2026-05-26T15:57:50Z
1020,1.500108539,40,2026-05-26T15:57:50Z
1080,1.499992658,40,2026-05-26T15:57:50Z
1140,1.499989363,40,2026-05-26T15:57:50Z
1200,1.500032800,40,2026-05-26T15:57:50Z
1260,1.500002099,40,2026-05-26T15:57:50Z
1320,1.499983213,40,2026-05-26T15:57:50Z
1380,1.499979115,40,2026-05-26T15:57:50Z
1440,1.463086562,41,2026-05-26T15:57:50Z
1500,1.499985611,40,2026-05-26T15:57:50Z
1560,1.463413569,41,2026-05-26T15:57:50Z
1620,1.439884079,42,2026-05-26T15:57:50Z
1680,1.463427638,41,2026-05-26T15:57:50Z
1740,1.463418802,41,2026-05-26T15:57:50Z
1800,1.428446911,42,2026-05-26T15:57:50Z
1860,1.428397435,42,2026-05-26T15:57:50Z
1920,1.428594852,42,2026-05-26T15:57:50Z
1980,1.428582733,42,2026-05-26T15:57:50Z
2040,1.394867256,43,2026-05-26T15:57:50Z
2100,1.395612308,43,2026-05-26T15:57:50Z
2160,1.395499321,43,2026-05-26T15:57:50Z
2220,1.395114810,43,2026-05-26T15:57:50Z
2280,1.395413915,43,2026-05-26T15:57:50Z
2340,1.395310804,43,2026-05-26T15:57:50Z
2400,1.395376447,43,2026-05-26T15:57:50Z
2460,1.395336252,43,2026-05-26T15:57:50Z
2520,1.395370011,43,2026-05-26T15:57:50Z
2580,1.363636427,44,2026-05-26T15:57:50Z
2640,1.363618922,44,2026-05-26T15:57:50Z
2700,1.363624769,44,2026-05-26T15:57:50Z
2760,1.363632195,44,2026-05-26T15:57:50Z
2820,1.363626100,44,2026-05-26T15:57:50Z
2880,1.363663227,44,2026-05-26T15:57:50Z
2940,1.363635482,44,2026-05-26T15:57:50Z
3000,1.333178229,45,2026-05-26T15:57:50Z
3060,1.333238392,45,2026-05-26T15:57:50Z
3120,1.333099750,45,2026-05-26T15:57:50Z
3180,1.333264033,45,2026-05-26T15:57:50Z
3240,1.303253066,46,2026-05-26T15:57:50Z
3300,1.304364541,46,2026-05-26T15:57:50Z
3360,1.304282689,46,2026-05-26T15:57:50Z
3420,1.304282981,46,2026-05-26T15:57:50Z
3480,1.275034560,47,2026-05-26T15:57:50Z
3540,1.277064964,47,2026-05-26T15:57:50Z
3600,1.276556426,47,2026-05-26T15:57:50Z
3660,1.276397979,47,2026-05-26T15:57:50Z
3720,1.249830138,48,2026-05-26T15:57:50Z
3780,1.270465617,31,2026-05-26T15:57:50Z
