# ayil_sim_dt version=3
# date=20191028 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:51Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,0.830590683,72,2026-05-26T15:57:51Z
60,0.909115799,66,2026-05-26T15:57:51Z
120,0.967735597,62,2026-05-26T15:57:51Z
180,1.016948920,59,2026-05-26T15:57:51Z
240,1.071516662,56,2026-05-26T15:57:51Z
300,1.091037059,55,2026-05-26T15:57:51Z
360,1.090943582,55,2026-05-26T15:57:51Z
420,1.090964047,55,2026-05-26T15:57:51Z
480,1.090864018,55,2026-05-26T15:57:51Z
540,1.090925681,55,2026-05-26T15:57:51Z
600,1.090915070,55,2026-05-26T15:57:51Z
660,1.090922943,55,2026-05-26T15:57:51Z
720,1.090922434,55,2026-05-26T15:57:51Z
780,1.090908958,55,2026-05-26T15:57:51Z
840,1.090909605,55,2026-05-26T15:57:51Z
900,1.071055776,56,2026-05-26T15:57:51Z
960,1.072162640,56,2026-05-26T15:57:51Z
1020,1.071428571,56,2026-05-26T15:57:51Z
1080,1.071087598,56,2026-05-26T15:57:51Z
1140,1.071428571,56,2026-05-26T15:57:51Z
1200,1.071428571,56,2026-05-26T15:57:51Z
1260,1.071395822,56,2026-05-26T15:57:51Z
1320,1.071538349,56,2026-05-26T15:57:51Z
1380,1.071496860,56,2026-05-26T15:57:51Z
1440,1.071388580,56,2026-05-26T15:57:51Z
1500,1.071350865,56,2026-05-26T15:57:51Z
1560,1.071390225,56,2026-05-26T15:57:51Z
1620,1.071467789,56,2026-05-26T15:57:51Z
1680,1.071428571,56,2026-05-26T15:57:51Z
1740,1.071464799,56,2026-05-26T15:57:51Z
1800,1.071422876,56,2026-05-26T15:57:51Z
1860,1.071408364,56,2026-05-26T15:57:51Z
1920,1.071426385,56,2026-05-26T15:57:51Z
1980,1.071431951,56,2026-05-26T15:57:51Z
2040,1.050652302,57,2026-05-26T15:57:51Z
2100,1.052064217,57,2026-05-26T15:57:51Z
2160,1.052697902,57,2026-05-26T15:57:51Z
2220,1.052614622,57,2026-05-26T15:57:51Z
2280,1.052700263,57,2026-05-26T15:57:51Z
2340,1.052558148,57,2026-05-26T15:57:51Z
2400,1.052594103,57,2026-05-26T15:57:51Z
2460,1.052634059,57,2026-05-26T15:57:51Z
2520,1.034341072,58,2026-05-26T15:57:51Z
2580,1.034432628,58,2026-05-26T15:57:51Z
2640,1.034425346,58,2026-05-26T15:57:51Z
2700,1.017772886,59,2026-05-26T15:57:51Z
2760,1.016961627,59,2026-05-26T15:57:51Z
2820,0.999994592,60,2026-05-26T15:57:51Z
2880,0.983728758,61,2026-05-26T15:57:51Z
2940,0.983554522,61,2026-05-26T15:57:51Z
3000,0.983619690,61,2026-05-26T15:57:51Z
3060,0.967439687,62,2026-05-26T15:57:51Z
3120,0.967735286,62,2026-05-26T15:57:51Z
3180,0.967613037,62,2026-05-26T15:57:51Z
3240,0.983513817,61,2026-05-26T15:57:51Z
3300,0.983723563,61,2026-05-26T15:57:51Z
3360,0.999999967,60,2026-05-26T15:57:51Z
3420,0.999993992,60,2026-05-26T15:57:51Z
3480,0.999999934,60,2026-05-26T15:57:51Z
3540,1.000010077,60,2026-05-26T15:57:51Z
3600,1.000015169,60,2026-05-26T15:57:51Z
3660,0.983552248,61,2026-05-26T15:57:51Z
3720,0.952370846,63,2026-05-26T15:57:51Z
3780,0.952379912,63,2026-05-26T15:57:51Z
3840,0.968148891,62,2026-05-26T15:57:51Z
3900,0.983641218,61,2026-05-26T15:57:51Z
3960,0.983637765,61,2026-05-26T15:57:51Z
4020,0.983612717,61,2026-05-26T15:57:51Z
4080,0.983619617,61,2026-05-26T15:57:51Z
4140,0.983573916,61,2026-05-26T15:57:51Z
4200,0.983632379,61,2026-05-26T15:57:51Z
4260,0.966026490,62,2026-05-26T15:57:51Z
4320,0.967742068,62,2026-05-26T15:57:51Z
4380,0.983609971,61,2026-05-26T15:57:51Z
4440,0.983576011,61,2026-05-26T15:57:51Z
4500,0.983515908,61,2026-05-26T15:57:51Z
4560,0.983606818,61,2026-05-26T15:57:51Z
4620,0.983619322,61,2026-05-26T15:57:51Z
4680,0.983623777,61,2026-05-26T15:57:51Z
4740,0.983742065,61,2026-05-26T15:57:51Z
4800,0.983539534,61,2026-05-26T15:57:51Z
4860,0.983641971,61,2026-05-26T15:57:51Z
4920,0.967439368,62,2026-05-26T15:57:51Z
4980,0.952420611,63,2026-05-26T15:57:51Z
5040,0.937489986,64,2026-05-26T15:57:51Z
5100,0.952384781,63,2026-05-26T15:57:51Z
5160,0.969100218,62,2026-05-26T15:57:51Z
5220,0.983611783,61,2026-05-26T15:57:51Z
5280,0.967421032,62,2026-05-26T15:57:51Z
5340,0.983606192,61,2026-05-26T15:57:51Z
5400,1.000013469,60,2026-05-26T15:57:51Z
5460,1.000008667,60,2026-05-26T15:57:51Z
5520,1.000000065,60,2026-05-26T15:57:51Z
5580,0.999973947,60,2026-05-26T15:57:51Z
5640,1.000019009,60,2026-05-26T15:57:51Z
5700,1.000008964,60,2026-05-26T15:57:51Z
5760,1.000000000,8,2026-05-26T15:57:51Z
