# ayil_sim_dt version=3
# date=20191106 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:52Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,0.920414146,65,2026-05-26T15:57:52Z
60,0.952385458,63,2026-05-26T15:57:52Z
120,0.952358489,63,2026-05-26T15:57:52Z
180,0.952421203,63,2026-05-26T15:57:52Z
240,0.952361028,63,2026-05-26T15:57:52Z
300,0.952405209,63,2026-05-26T15:57:52Z
360,0.952333005,63,2026-05-26T15:57:52Z
420,0.952332366,63,2026-05-26T15:57:52Z
480,0.952453137,63,2026-05-26T15:57:52Z
540,0.952330477,63,2026-05-26T15:57:52Z
600,0.952472445,63,2026-05-26T15:57:52Z
660,0.954100169,63,2026-05-26T15:57:52Z
720,0.967744783,62,2026-05-26T15:57:52Z
780,0.967726802,62,2026-05-26T15:57:52Z
840,0.967724852,62,2026-05-26T15:57:52Z
900,0.967714169,62,2026-05-26T15:57:52Z
960,0.967785321,62,2026-05-26T15:57:52Z
1020,0.967784025,62,2026-05-26T15:57:52Z
1080,0.967708982,62,2026-05-26T15:57:52Z
1140,0.967689754,62,2026-05-26T15:57:52Z
1200,0.968074986,62,2026-05-26T15:57:52Z
1260,0.969131211,62,2026-05-26T15:57:52Z
1320,0.983613972,61,2026-05-26T15:57:52Z
1380,0.983624574,61,2026-05-26T15:57:52Z
1440,0.983598426,61,2026-05-26T15:57:52Z
1500,0.983578022,61,2026-05-26T15:57:52Z
1560,0.983629553,61,2026-05-26T15:57:52Z
1620,0.983523069,61,2026-05-26T15:57:52Z
1680,0.983854841,61,2026-05-26T15:57:52Z
1740,0.985834384,61,2026-05-26T15:57:52Z
1800,0.999999934,60,2026-05-26T15:57:52Z
1860,1.000010207,60,2026-05-26T15:57:52Z
1920,1.000000132,60,2026-05-26T15:57:52Z
1980,0.999975531,60,2026-05-26T15:57:52Z
2040,0.999937734,60,2026-05-26T15:57:52Z
2100,1.000000000,60,2026-05-26T15:57:52Z
2160,0.999999968,60,2026-05-26T15:57:52Z
2220,1.000310506,60,2026-05-26T15:57:52Z
2280,1.016949219,59,2026-05-26T15:57:52Z
2340,1.016966601,59,2026-05-26T15:57:52Z
2400,1.016972062,59,2026-05-26T15:57:52Z
2460,1.016922127,59,2026-05-26T15:57:52Z
2520,1.026458362,25,2026-05-26T15:57:52Z
