# ayil_sim_dt version=3
# date=20191102 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:52Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,1.459480076,41,2026-05-26T15:57:52Z
60,1.538266327,39,2026-05-26T15:57:52Z
120,1.539008041,39,2026-05-26T15:57:52Z
180,1.538010362,39,2026-05-26T15:57:52Z
240,1.538255632,39,2026-05-26T15:57:52Z
300,1.538461538,39,2026-05-26T15:57:52Z
360,1.538061383,39,2026-05-26T15:57:52Z
420,1.538303121,39,2026-05-26T15:57:52Z
480,1.538308499,39,2026-05-26T15:57:52Z
540,1.538789128,39,2026-05-26T15:57:52Z
600,1.538288949,39,2026-05-26T15:57:52Z
660,1.538189156,39,2026-05-26T15:57:52Z
720,1.538661932,39,2026-05-26T15:57:52Z
780,1.538461538,39,2026-05-26T15:57:52Z
840,1.538461538,39,2026-05-26T15:57:52Z
900,1.538461538,39,2026-05-26T15:57:52Z
960,1.538461538,39,2026-05-26T15:57:52Z
1020,1.538461538,39,2026-05-26T15:57:52Z
1080,1.538554026,39,2026-05-26T15:57:52Z
1140,1.538373088,39,2026-05-26T15:57:52Z
1200,1.538546529,39,2026-05-26T15:57:52Z
1260,1.538461635,39,2026-05-26T15:57:52Z
1320,1.538373088,39,2026-05-26T15:57:52Z
1380,1.538554026,39,2026-05-26T15:57:52Z
1440,1.538461538,39,2026-05-26T15:57:52Z
1500,1.538513467,39,2026-05-26T15:57:52Z
1560,1.538571523,39,2026-05-26T15:57:52Z
1620,1.538237627,39,2026-05-26T15:57:52Z
1680,1.538708439,39,2026-05-26T15:57:52Z
1740,1.538461506,39,2026-05-26T15:57:52Z
1800,1.538182916,39,2026-05-26T15:57:52Z
1860,1.538153447,39,2026-05-26T15:57:52Z
1920,1.538303121,39,2026-05-26T15:57:52Z
1980,1.538376803,39,2026-05-26T15:57:52Z
