# ayil_sim_dt version=3
# date=20191107 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:52Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,1.196047292,50,2026-05-26T15:57:52Z
60,1.276592945,47,2026-05-26T15:57:52Z
120,1.252330913,48,2026-05-26T15:57:52Z
180,1.250406556,48,2026-05-26T15:57:52Z
240,1.249643015,48,2026-05-26T15:57:52Z
300,1.248223883,48,2026-05-26T15:57:52Z
360,1.249352865,48,2026-05-26T15:57:52Z
420,1.251850015,48,2026-05-26T15:57:52Z
480,1.276595745,47,2026-05-26T15:57:52Z
540,1.276592945,47,2026-05-26T15:57:52Z
600,1.276591944,47,2026-05-26T15:57:52Z
660,1.276598978,47,2026-05-26T15:57:52Z
720,1.276600848,47,2026-05-26T15:57:52Z
780,1.276553206,47,2026-05-26T15:57:52Z
840,1.249548885,49,2026-05-26T15:57:52Z
900,1.249922233,48,2026-05-26T15:57:52Z
960,1.249999968,48,2026-05-26T15:57:52Z
1020,1.250013959,48,2026-05-26T15:57:52Z
1080,1.249999868,48,2026-05-26T15:57:52Z
1140,1.249993909,48,2026-05-26T15:57:52Z
1200,1.249995958,48,2026-05-26T15:57:52Z
1260,1.250009541,48,2026-05-26T15:57:52Z
1320,1.250000067,48,2026-05-26T15:57:52Z
1380,1.249999627,48,2026-05-26T15:57:52Z
1440,1.223195931,49,2026-05-26T15:57:52Z
1500,1.223489396,49,2026-05-26T15:57:52Z
1560,1.225236343,49,2026-05-26T15:57:52Z
1620,1.223529412,49,2026-05-26T15:57:52Z
1680,1.224489764,49,2026-05-26T15:57:52Z
1740,1.225104100,49,2026-05-26T15:57:52Z
1800,1.225104100,49,2026-05-26T15:57:52Z
1860,1.224489732,49,2026-05-26T15:57:52Z
1920,1.224710032,49,2026-05-26T15:57:52Z
1980,1.224710032,49,2026-05-26T15:57:52Z
2040,1.224710032,49,2026-05-26T15:57:52Z
2100,1.224710032,49,2026-05-26T15:57:52Z
2160,1.224710032,49,2026-05-26T15:57:52Z
2220,1.224710032,49,2026-05-26T15:57:52Z
2280,1.246000000,16,2026-05-26T15:57:52Z
