# ayil_sim_dt version=3
# date=20191101 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:51Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,1.758944266,34,2026-05-26T15:57:51Z
60,1.935453643,31,2026-05-26T15:57:51Z
120,1.935512455,31,2026-05-26T15:57:51Z
180,1.935509196,31,2026-05-26T15:57:51Z
240,1.935534249,31,2026-05-26T15:57:51Z
300,1.935526707,31,2026-05-26T15:57:51Z
360,1.935367173,31,2026-05-26T15:57:51Z
420,1.935285472,31,2026-05-26T15:57:51Z
480,1.935430967,31,2026-05-26T15:57:51Z
540,1.935551207,31,2026-05-26T15:57:51Z
600,1.935125695,31,2026-05-26T15:57:51Z
660,1.936129516,31,2026-05-26T15:57:51Z
720,1.935122593,31,2026-05-26T15:57:51Z
780,1.999999431,30,2026-05-26T15:57:51Z
840,2.000015183,30,2026-05-26T15:57:51Z
900,2.000012936,30,2026-05-26T15:57:51Z
960,2.000050522,30,2026-05-26T15:57:51Z
1020,1.999953426,30,2026-05-26T15:57:51Z
1080,2.000022523,30,2026-05-26T15:57:51Z
1140,2.000122101,30,2026-05-26T15:57:51Z
1200,1.999864628,30,2026-05-26T15:57:51Z
1260,2.000000032,30,2026-05-26T15:57:51Z
1320,2.000095491,30,2026-05-26T15:57:51Z
1380,2.000157473,30,2026-05-26T15:57:51Z
1440,1.999999843,30,2026-05-26T15:57:51Z
1500,2.068793220,29,2026-05-26T15:57:51Z
1560,2.068971611,30,2026-05-26T15:57:51Z
1620,2.068986920,29,2026-05-26T15:57:51Z
1680,2.068977008,29,2026-05-26T15:57:51Z
1740,2.069053068,29,2026-05-26T15:57:51Z
1800,2.068938865,29,2026-05-26T15:57:51Z
1860,2.068893108,29,2026-05-26T15:57:51Z
1920,2.068916165,29,2026-05-26T15:57:51Z
1980,2.068664928,29,2026-05-26T15:57:51Z
2040,2.069097357,29,2026-05-26T15:57:51Z
2100,2.067734249,29,2026-05-26T15:57:51Z
2160,2.070331835,29,2026-05-26T15:57:51Z
2220,2.142857143,28,2026-05-26T15:57:51Z
2280,2.142823650,28,2026-05-26T15:57:51Z
2340,2.142892296,28,2026-05-26T15:57:51Z
2400,2.142823381,28,2026-05-26T15:57:51Z
2460,2.142955235,28,2026-05-26T15:57:51Z
2520,2.142893414,28,2026-05-26T15:57:51Z
2580,2.142805892,28,2026-05-26T15:57:51Z
2640,2.195133139,16,2026-05-26T15:57:51Z
