# ayil_sim_dt version=3
# date=20191016 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:50Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,1.048685806,57,2026-05-26T15:57:50Z
60,1.090918553,55,2026-05-26T15:57:50Z
120,1.090880541,55,2026-05-26T15:57:50Z
180,1.090925468,55,2026-05-26T15:57:50Z
240,1.090909091,55,2026-05-26T15:57:50Z
300,1.090922434,55,2026-05-26T15:57:50Z
360,1.090916440,55,2026-05-26T15:57:50Z
420,1.090915798,55,2026-05-26T15:57:50Z
480,1.090907897,55,2026-05-26T15:57:50Z
540,1.070457544,56,2026-05-26T15:57:50Z
600,1.072067787,56,2026-05-26T15:57:50Z
660,1.071174463,56,2026-05-26T15:57:50Z
720,1.071362840,56,2026-05-26T15:57:50Z
780,1.071449182,56,2026-05-26T15:57:50Z
840,1.051712251,57,2026-05-26T15:57:50Z
900,1.052581806,57,2026-05-26T15:57:50Z
960,1.052629103,57,2026-05-26T15:57:50Z
1020,1.034530354,58,2026-05-26T15:57:50Z
1080,1.017033656,59,2026-05-26T15:57:50Z
1140,0.999303737,60,2026-05-26T15:57:50Z
1200,0.999979234,60,2026-05-26T15:57:50Z
1260,0.999948887,60,2026-05-26T15:57:50Z
1320,1.000092596,60,2026-05-26T15:57:50Z
1380,0.999967584,60,2026-05-26T15:57:50Z
1440,1.000001117,60,2026-05-26T15:57:50Z
1500,1.000006187,60,2026-05-26T15:57:50Z
1560,1.000245936,60,2026-05-26T15:57:50Z
1620,0.999676486,60,2026-05-26T15:57:50Z
1680,1.000777350,60,2026-05-26T15:57:50Z
1740,1.016937371,59,2026-05-26T15:57:50Z
1800,1.016952871,59,2026-05-26T15:57:50Z
1860,1.016977512,59,2026-05-26T15:57:50Z
1920,1.017089105,59,2026-05-26T15:57:50Z
1980,1.016735673,59,2026-05-26T15:57:50Z
2040,1.016865521,59,2026-05-26T15:57:50Z
2100,1.016953274,59,2026-05-26T15:57:50Z
2160,0.999829092,60,2026-05-26T15:57:50Z
2220,0.999999837,60,2026-05-26T15:57:50Z
2280,1.000105972,60,2026-05-26T15:57:50Z
2340,1.016959231,59,2026-05-26T15:57:50Z
2400,1.016949054,59,2026-05-26T15:57:50Z
2460,1.016929361,59,2026-05-26T15:57:50Z
2520,1.016946579,59,2026-05-26T15:57:50Z
2580,1.016948144,59,2026-05-26T15:57:50Z
2640,1.016956249,59,2026-05-26T15:57:50Z
2700,1.016928534,59,2026-05-26T15:57:50Z
2760,1.016944519,59,2026-05-26T15:57:50Z
2820,1.016949153,59,2026-05-26T15:57:50Z
2880,1.000094968,60,2026-05-26T15:57:50Z
2940,0.999860322,60,2026-05-26T15:57:50Z
3000,1.001501305,60,2026-05-26T15:57:50Z
3060,1.016960385,59,2026-05-26T15:57:50Z
3120,1.016948980,59,2026-05-26T15:57:50Z
3180,1.000055993,60,2026-05-26T15:57:50Z
3240,1.016951124,59,2026-05-26T15:57:50Z
3300,1.016934688,59,2026-05-26T15:57:50Z
3360,1.016987153,59,2026-05-26T15:57:50Z
3420,1.016955532,59,2026-05-26T15:57:50Z
3480,1.016948824,59,2026-05-26T15:57:50Z
3540,1.016949318,59,2026-05-26T15:57:50Z
3600,1.016953756,59,2026-05-26T15:57:50Z
3660,1.016926774,59,2026-05-26T15:57:50Z
3720,1.016975128,59,2026-05-26T15:57:50Z
3780,0.999303834,60,2026-05-26T15:57:50Z
3840,0.999969801,60,2026-05-26T15:57:50Z
3900,1.000005212,60,2026-05-26T15:57:50Z
3960,0.999988888,60,2026-05-26T15:57:50Z
4020,0.999979777,60,2026-05-26T15:57:50Z
4080,1.000000259,60,2026-05-26T15:57:50Z
4140,0.983506680,61,2026-05-26T15:57:50Z
4200,0.967713369,62,2026-05-26T15:57:50Z
4260,1.016950786,59,2026-05-26T15:57:50Z
4320,1.016965712,59,2026-05-26T15:57:50Z
4380,0.999982498,60,2026-05-26T15:57:50Z
4440,1.000036654,60,2026-05-26T15:57:50Z
4500,1.016955614,59,2026-05-26T15:57:50Z
4560,1.016950721,59,2026-05-26T15:57:50Z
4620,0.983606776,61,2026-05-26T15:57:50Z
4680,0.983750064,61,2026-05-26T15:57:50Z
4740,0.983559539,61,2026-05-26T15:57:50Z
4800,0.983629489,61,2026-05-26T15:57:50Z
4860,1.000008855,60,2026-05-26T15:57:50Z
4920,0.983550122,61,2026-05-26T15:57:50Z
4980,1.000148134,60,2026-05-26T15:57:50Z
5040,1.000000597,60,2026-05-26T15:57:50Z
5100,1.016928441,59,2026-05-26T15:57:50Z
5160,1.016940844,59,2026-05-26T15:57:50Z
5220,1.021499755,3,2026-05-26T15:57:50Z
