# ayil_sim_dt version=3
# date=20191029 bin_sec=60 dt_ref_sec=2.0 host=login2 nproc= updated_utc=2026-05-26T15:57:51Z
# dt_s = sim_cover/step_units per bin (step_units=sum delta_sim/dt over diagnostic intervals)
sim_bin_s,dt_s,n_lines,last_utc
0,0.949193989,63,2026-05-26T15:57:51Z
60,0.967801299,62,2026-05-26T15:57:51Z
120,0.967771766,62,2026-05-26T15:57:51Z
180,0.967820722,62,2026-05-26T15:57:51Z
240,0.967741935,62,2026-05-26T15:57:51Z
300,0.967984406,62,2026-05-26T15:57:51Z
360,0.968144391,62,2026-05-26T15:57:51Z
420,0.967531711,62,2026-05-26T15:57:51Z
480,0.966026523,62,2026-05-26T15:57:51Z
540,0.983606557,61,2026-05-26T15:57:51Z
600,0.983606557,61,2026-05-26T15:57:51Z
660,0.983606557,61,2026-05-26T15:57:51Z
720,0.983606557,61,2026-05-26T15:57:51Z
780,0.983606557,61,2026-05-26T15:57:51Z
840,0.983606557,61,2026-05-26T15:57:51Z
900,0.969131146,62,2026-05-26T15:57:51Z
960,0.966525529,62,2026-05-26T15:57:51Z
1020,0.966525529,62,2026-05-26T15:57:51Z
1080,0.966525529,62,2026-05-26T15:57:51Z
1140,0.966525529,62,2026-05-26T15:57:51Z
1200,0.966525529,62,2026-05-26T15:57:51Z
1260,0.966525529,62,2026-05-26T15:57:51Z
1320,0.966525529,62,2026-05-26T15:57:51Z
1380,0.966525529,62,2026-05-26T15:57:51Z
1440,0.966525529,62,2026-05-26T15:57:51Z
1500,0.966525529,62,2026-05-26T15:57:51Z
1560,0.966525529,62,2026-05-26T15:57:51Z
1620,0.966525529,62,2026-05-26T15:57:51Z
1680,0.966525529,62,2026-05-26T15:57:51Z
1740,0.966525529,62,2026-05-26T15:57:51Z
1800,0.966525529,62,2026-05-26T15:57:51Z
1860,0.966525529,62,2026-05-26T15:57:51Z
1920,0.966525529,62,2026-05-26T15:57:51Z
1980,0.966525529,62,2026-05-26T15:57:51Z
2040,0.966525529,62,2026-05-26T15:57:51Z
2100,0.983607240,61,2026-05-26T15:57:51Z
2160,0.983606557,61,2026-05-26T15:57:51Z
2220,0.983606557,61,2026-05-26T15:57:51Z
2280,0.983606557,61,2026-05-26T15:57:51Z
2340,0.983606557,61,2026-05-26T15:57:51Z
2400,0.983602882,61,2026-05-26T15:57:51Z
2460,0.983606557,61,2026-05-26T15:57:51Z
2520,0.983606557,61,2026-05-26T15:57:51Z
2580,0.983606557,61,2026-05-26T15:57:51Z
2640,0.983606557,61,2026-05-26T15:57:51Z
2700,0.983606557,61,2026-05-26T15:57:51Z
2760,0.983606557,61,2026-05-26T15:57:51Z
2820,0.983606557,61,2026-05-26T15:57:51Z
2880,0.983614635,61,2026-05-26T15:57:51Z
2940,0.983606557,61,2026-05-26T15:57:51Z
3000,0.983606557,61,2026-05-26T15:57:51Z
3060,0.983596587,61,2026-05-26T15:57:51Z
3120,0.983606557,61,2026-05-26T15:57:51Z
3180,0.983606557,61,2026-05-26T15:57:51Z
3240,0.983584990,61,2026-05-26T15:57:51Z
3300,0.983606557,61,2026-05-26T15:57:51Z
3360,0.983606557,61,2026-05-26T15:57:51Z
3420,0.983617083,61,2026-05-26T15:57:51Z
3480,0.983606557,61,2026-05-26T15:57:51Z
3540,0.983570056,61,2026-05-26T15:57:51Z
3600,0.983606557,61,2026-05-26T15:57:51Z
3660,0.983662227,61,2026-05-26T15:57:51Z
3720,0.983606557,61,2026-05-26T15:57:51Z
3780,0.983606557,61,2026-05-26T15:57:51Z
3840,0.983606557,61,2026-05-26T15:57:51Z
3900,0.983606557,61,2026-05-26T15:57:51Z
3960,0.992000000,16,2026-05-26T15:57:51Z
